name,price,specs,specs_core,img
Apple iPhone 16,"₹72,200","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor8 GB RAM, 128 GB inbuilt3561 mAh Battery with Fast Charging6.1 inches, 1179 x 2556 px Display with Dynamic Island Display48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",85,https://cdn1.smartprix.com/rx-i2e85bq8q-w280-h280/apple-iphone-16.webp
Apple iPhone 15,"₹61,400","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A16, Hexa Core, 3.46 GHz Processor6 GB RAM, 128 GB inbuilt3349 mAh Battery with Fast Charging6.1 inches, 1179 x 2556 px Display with Dynamic Island48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v17",81,https://cdn1.smartprix.com/rx-iWLT056zS-w280-h280/apple-iphone-15.webp
Apple iPhone 16 Pro Max,"₹1,32,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18 Pro, Hexa Core, 4.05 GHz Processor8 GB RAM, 256 GB inbuilt4685 mAh Battery with Fast Charging6.9 inches, 1320 x 2868 px, 120 Hz Display with Dynamic Island48 MP + 48 MP + 12 MP Triple Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",89,https://cdn1.smartprix.com/rx-iaI4Vthxt-w280-h280/apple-iphone-16-pro.webp
Apple iPhone 13,"₹45,790","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A15, Hexa Core, 3.22 GHz Processor4 GB RAM, 128 GB inbuilt3240 mAh Battery with Fast Charging6.1 inches, 1170 x 2532 px Display with Small Notch12 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v15",,https://cdn1.smartprix.com/rx-ides4J9tl-w280-h280/apple-iphone-13.webp
Apple iPhone 16e,"₹49,999","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor8 GB RAM, 128 GB inbuilt4005 mAh Battery with Fast Charging6.1 inches, 1170 x 2532 px Display with Small Notch48 MP Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",83,https://cdn1.smartprix.com/rx-iA5rc7mM3-w280-h280/apple-iphone-16e.webp
Apple iPhone 16 Pro,"₹1,10,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18 Pro, Hexa Core, 4.05 GHz Processor8 GB RAM, 128 GB inbuilt3582 mAh Battery with Fast Charging6.3 inches, 1206 x 2622 px, 120 Hz Display with Dynamic Island48 MP + 48 MP + 12 MP Triple Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",87,https://cdn1.smartprix.com/rx-i2up0xlk8-w280-h280/apple-iphone-16-pro.webp
Apple iPhone 17 Air,"₹79,990","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCApple, Octa Core Processor8 GB RAM, 128 GB inbuilt3000 mAh Battery with Fast Charging6.1 inches, 1200 x 2600 px Display with Small Notch12 MP + 12 MP Dual Rear & 24 MP Front CameraMemory Card Not SupportediOS v26",,https://cdn1.smartprix.com/rx-iv7kdkTX4-w280-h280/apple-iphone-17-air.webp
Apple iPhone 17,"₹89,990","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A19, Octa Core Processor12 GB RAM, 128 GB inbuilt4190 mAh Battery with Fast Charging6.3 inches, 1200 x 2600 px, 120 Hz Display with Small Notch50 MP + 12 MP Dual Rear & 24 MP Front CameraMemory Card Not SupportediOS v26",,https://cdn1.smartprix.com/rx-iFHBkPGKe-w280-h280/apple-iphone-17.webp
Apple iPhone 17 Pro Max,"₹1,69,990","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCApple A19 Pro256 GB inbuilt6.9 inches, 1320 x 2868 px, 120 Hz Display with Dynamic Island48 MP + 48 MP + 48 MP Triple Rear & 24 MP Front CameraMemory Card Not SupportediOS v26No FM Radio",,https://cdn1.smartprix.com/rx-ipMo6BYzu-w280-h280/apple-iphone-17-pro.webp
Apple iPhone 15 Plus,"₹72,490","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A16, Hexa Core, 3.46 GHz Processor6 GB RAM, 128 GB inbuilt4383 mAh Battery with Fast Charging6.7 inches, 1290 x 2796 px Display with Dynamic Island48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v17",82,https://cdn1.smartprix.com/rx-iBzbDITOc-w280-h280/apple-iphone-15-plus.webp
Apple iPhone 14,"₹53,890","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A15, Hexa Core, 3.22 GHz Processor6 GB RAM, 128 GB inbuilt3279 mAh Battery with Fast Charging6.1 inches, 1170 x 2532 px Display with Small Notch12 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v16",,https://cdn1.smartprix.com/rx-iVyp4t2Vm-w280-h280/apple-iphone-14.webp
Apple iPhone 16 Plus,"₹81,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor128 GB inbuilt4674 mAh Battery with Fast Charging6.7 inches, 1290 x 2796 px Display with Dynamic Island48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",82,https://cdn1.smartprix.com/rx-iwzJbyZZO-w280-h280/apple-iphone-16-plus.webp
Apple iPhone 17e,"₹64,990","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A19, Hexa Core Processor8 GB RAM, 128 GB inbuilt6.1 inches, 1170 x 2532 px Display with Small Notch50 MP Rear & 24 MP Front CameraMemory Card Not SupportediOS v19No FM Radio",,https://cdn1.smartprix.com/rx-iv7kdkTX4-w280-h280/apple-iphone-17e.webp
Apple iPhone 15 (256GB),"₹70,800","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A16, Hexa Core, 3.46 GHz Processor6 GB RAM, 256 GB inbuilt3349 mAh Battery with Fast Charging6.1 inches, 1179 x 2556 px Display with Dynamic Island48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v17",82,https://cdn1.smartprix.com/rx-ihDIwaWmc-w280-h280/apple-iphone-15-256g.webp
